"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","48.510.500","2,20","-2,65%"
"BBDC4","Banco Bradesco","46.311.500","11,18","-1,24%"
"PETR4","Petrobras","40.328.800","36,94","+0,27%"
"B3SA3","B3","36.793.100","9,80","-3,92%"
"ABEV3","Ambev","31.277.300","11,16","-2,11%"
"VALE3","Vale","25.833.900","51,52","+0,57%"
"ITSA4","Itaúsa","22.893.500","8,66","-1,37%"
"COGN3","Cogna","21.397.000","1,18","+1,72%"
"CRFB3","Carrefour Brasil","19.728.400","5,49","-0,72%"
"ITUB4","Itaú Unibanco","19.288.300","30,64","-1,38%"
"CVCB3","CVC","18.482.200","1,66","+2,47%"
"MGLU3","Magazine Luiza","18.164.800","6,03","+0,33%"
"AZUL4","Azul","17.708.800","4,14","-2,59%"
"GGBR4","Gerdau","17.317.900","16,80","-1,75%"
"CSNA3","Siderúrgica Nacional","17.203.200","7,73","+3,76%"
"BBAS3","Banco do Brasil","17.167.200","24,21","-0,25%"
"PRIO3","PetroRio","16.998.700","42,63","+1,60%"
"TIMS3","TIM","16.631.000","13,82","-5,02%"
"RAIL3","Rumo","15.867.400","17,21","-3,59%"
"CPLE6","Copel","15.778.600","8,76","-2,12%"
"CMIG4","Cemig","15.657.100","10,47","-2,70%"
"CSAN3","Cosan","15.466.800","8,11","-1,22%"
"ASAI3","Assaí","14.811.000","5,62","-0,71%"
"LREN3","Lojas Renner","14.184.800","12,84","-1,23%"
"EQTL3","Equatorial Energia","13.372.300","27,16","-0,26%"
"BRFS3","BRF","13.228.200","23,52","+0,17%"
"USIM5","Usiminas","12.552.300","4,76","-0,63%"
"RENT3","Localiza","12.381.700","28,87","-4,66%"
"ENEV3","Eneva","12.174.600","10,69","+1,62%"
"PCAR3","Grupo Pão de Açúcar","11.970.000","2,76","-3,16%"
"BRAV3","3R Petroleum","11.706.500","24,92","+1,76%"
"BBDC3","Banco Bradesco","11.490.400","10,31","-1,06%"
"GOAU4","Metalúrgica Gerdau","11.441.900","9,41","-1,77%"
"GOLL4","GOL","11.405.300","1,59","-5,92%"
"RADL3","RaiaDrogasil","10.619.100","20,97","-0,62%"
"PETR3","Petrobras","10.357.700","40,92","+0,49%"
"POMO4","Marcopolo","10.015.600","7,31","-2,40%"
"MRFG3","Marfrig","9.910.200","16,86","-0,77%"
"RAIZ4","Raízen","9.779.600","2,02","-0,98%"
"ELET3","Eletrobras","9.776.100","34,15","-1,01%"
"CMIN3","CSN Mineração","9.590.100","4,85","+2,97%"
"BEEF3","Minerva","9.294.800","5,08","-0,78%"
"MRVE3","MRV","9.194.600","5,09","-2,12%"
"ANIM3","Ânima Educação","8.900.500","1,55","+1,97%"
